Moon Ducote [892]: (-0.384016511488416, 0.8006831781550827) -- 1
Moose McCormick [2089]: (-0.38322835936664074, 0.45448082484987545) -- 2
Red Randall [2631]: (-0.3832107487721071, 0.4544984354444091) -- 2
William Sherry [2907]: (-0.38276900649839607, 0.8019306831451026) -- 1
Leo A. Zack [3502]: (-0.38252746541968563, 0.45518171879683056) -- 2
Bill Weimar [3336]: (-0.3822331133042396, 0.8024665763392591) -- 1
Leonard Hettinger [1448]: (-0.38146549108025274, 0.803234198563246) -- 1
Bud Saunders [2823]: (-0.38032261126858496, 0.4573865729479312) -- 2
Bob McKinley [2137]: (-0.3799330502821236, 0.4577761339343926) -- 2
J.A. Pelletier [2498]: (-0.37944661901529775, 0.805253070628201) -- 1
Glen Kinney [1768]: (-0.3789236837562971, 0.4587855004602191) -- 2
Hank Kuzma [1820]: (-0.37886669875433365, 0.805832990889165) -- 1
Neill McGeachy [2119]: (-0.37624814990649513, 0.8084515397370036) -- 1
Claude Allen [36]: (-0.3749585404739233, 0.8097411491695754) -- 1
Barnes [148]: (-0.37383619516720046, 0.46387298904931573) -- 2
Bob Evans [992]: (-0.37190329625249247, 0.4658058879640237) -- 2
Harold Bruce [397]: (-0.3714909491162279, 0.8132087405272708) -- 1
Pete Shands [2892]: (-0.37110178311949404, 0.46660740109702215) -- 2
Puss Redd [2647]: (-0.37079295859420447, 0.8139067310492942) -- 1
Harorl Parkinson [2468]: (-0.36771216366232906, 0.8169875259811696) -- 1
John Garrison [1159]: (-0.3648172123223753, 0.4728919718941409) -- 2
Middlebrook [2200]: (-0.3648049346421086, 0.8198947550013901) -- 1
Ray Fisher [1053]: (-0.3648049346421086, 0.8198947550013901) -- 1
Borden Price [2584]: (-0.36267481682735925, 0.47503436738915694) -- 2
Robert Dougherty [863]: (-0.36109984482174934, 0.8235998448217494) -- 1
Weston Mitchell [2238]: (-0.3610573278149466, 0.8236423618285521) -- 1
Joseph Stilwell [3055]: (-0.3604657868507348, 0.8242339027927639) -- 1
Ronny Thompson [3156]: (-0.36015170240688865, 0.82454798723661) -- 1
Arthur Berndt [223]: (-0.359359339734445, 0.4783498444820712) -- 2
Frank Power [2571]: (-0.359016511488416, 0.8256831781550826) -- 1
Fred Parsons [2471]: (-0.35745051596268895, 0.8272491736808097) -- 1
Bo Brickels [344]: (-0.3554919374561806, 0.4822172467603356) -- 2
Melvin Bell [195]: (-0.3545449667729689, 0.8301547228705298) -- 1
Scott Hamilton [1331]: (-0.35207706069658035, 0.48563212351993584) -- 2
Russell Burt [434]: (-0.35011381997702884, 0.8345858696664699) -- 1
Buster Poole [2559]: (-0.3485998448217493, 0.8360998448217494) -- 1
Deane Martin [2028]: (-0.3467877146442345, 0.8379119749992642) -- 1
J.S. Robson [2735]: (-0.34597303322754647, 0.8387266564159522) -- 1
Fred Langley [1847]: (-0.3445622342022803, 0.8401374554412184) -- 1
Ricky Blanton [267]: (-0.34327377350619076, 0.49443541071032543) -- 2
Raymond Blake [263]: (-0.34234984482174935, 0.8423498448217493) -- 1
Percival Ritchie [2710]: (-0.34062329959125126, 0.49708588462526493) -- 2
Paddy Winters [3448]: (-0.3380162687549647, 0.4996929154615515) -- 2
Bill Moore [2257]: (-0.33780439027629483, 0.8468952993672039) -- 1
Clyde Drexler [881]: (-0.33720314759994446, 0.5005060366165717) -- 2
Allan Willisford [3424]: (-0.3357708974533283, 0.8489287921901705) -- 1
Bob Greenwood [1265]: (-0.3342853286927171, 0.8504143609507816) -- 1
James Whiteford [3371]: (-0.3336289145891912, 0.8510707750543075) -- 1
Cameron Dollar [839]: (-0.3336289145891912, 0.8510707750543075) -- 1
Kevin McGeehan [2120]: (-0.3336289145891912, 0.8510707750543075) -- 1
Clarence Finley [1044]: (-0.3336289145891912, 0.8510707750543075) -- 1
Ed Davidson [747]: (-0.33304181997473126, 0.5046673642417849) -- 2
Don Shields [2908]: (-0.3325450682987343, 0.5051641159177819) -- 2
Dan Jones [1665]: (-0.33252235647233763, 0.3514643282522024) -- 3
P. Shellenberger [2901]: (-0.33120334800646273, 0.853496341637036) -- 1
Donald Ulrich [3215]: (-0.3304208060301596, 0.5072883781863566) -- 2
Eddie Keinholz [1722]: (-0.3300795850640203, 0.507629599152496) -- 2
John H. Kobs [1790]: (-0.3297783068090341, 0.5079308774074821) -- 2
J.O. Erwin [985]: (-0.32967418231315565, 0.5080350019033606) -- 2
Ernest Bearg [181]: (-0.32887679092953376, 0.8558228987139649) -- 1
Harry Lothes [1942]: (-0.3287839533488811, 0.8559157362946176) -- 1
Dick Stewart [3042]: (-0.32865439127984086, 0.5090547929366753) -- 2
Franklyn Ashcraft [98]: (-0.3280925724734762, 0.3558941122510639) -- 3
William O'Hara [2403]: (-0.32780265500085093, 0.3561840297236891) -- 3
R.H. Fitzgerald [1060]: (-0.3277483509540783, 0.5099608332624379) -- 2
Irving Carlyle [496]: (-0.32704372237276974, 0.8576559672707289) -- 1
John Hegarty [1419]: (-0.3242339027927638, 0.8604657868507348) -- 1
Van Hill [1471]: (-0.32288876697743796, 0.8618109226660607) -- 1
Brendan Malone [2004]: (-0.32186308232605065, 0.5158461018904655) -- 2
Newman Ertell [983]: (-0.3201591258978218, 0.5175500583186944) -- 2
Ralph Francis [1109]: (-0.317947021054998, 0.5197621631615181) -- 2
Hoddy Mahon [1994]: (-0.31793124017058655, 0.8667684494729122) -- 1
Jim Jarrett [1617]: (-0.31793124017058655, 0.8667684494729122) -- 1
William Bussenius [441]: (-0.3173498448217493, 0.8673498448217494) -- 1
H.M. Grey [1273]: (-0.31690074302534216, 0.8677989466181566) -- 1
Dave Pritchett [2595]: (-0.3151063179774686, 0.5226028662390476) -- 2
Frank Summers [3087]: (-0.31508271659585263, 0.3689039681286874) -- 3
Jack Null [2384]: (-0.31490163604115917, 0.3690850486833809) -- 3
Jackson Spencer [2995]: (-0.31408333982355463, 0.3699033449009854) -- 3
John Mulroy [2305]: (-0.31353943589981625, 0.8711602537436824) -- 1
Benny Johns [1637]: (-0.31346876307785076, 0.5242404211386654) -- 2
Fred Vail [3226]: (-0.30974114916957546, 0.8749585404739233) -- 1
Harold Hansen [1343]: (-0.30853676622156995, 0.5291724179949463) -- 2
Tucker Jones [1681]: (-0.30663555910746365, 0.878064130536035) -- 1
Tulane_UNKNOWN_COACH: (-0.30552813939539275, 0.8791715502481059) -- 1
Kenneth Moyer [2294]: (-0.30479077666808424, 0.3791959080564558) -- 3
Robert Harmon [1357]: (-0.30462299037665636, 0.5330861938398598) -- 2
West Texas A&M_UNKNOWN_COACH: (-0.30447105694296145, 0.8802286327005373) -- 1
Ron Palmer [2458]: (-0.3041481126565752, 0.37983857206796484) -- 3
Bernie Ockene [2419]: (-0.30403533307120995, 0.5336738511453063) -- 2
Buford Blair [259]: (-0.30329281625168725, 0.5344163679648289) -- 2
Rob Krimmel [1810]: (-0.30302011878404467, 0.5346890654324715) -- 2
Cord Lipe [1912]: (-0.3024090164193825, 0.8822906732241163) -- 1
Lonnie Richards [2692]: (-0.30057704079595027, 0.5371321434205659) -- 2
Don Williams [3401]: (-0.29997696346581715, 0.8847227261776816) -- 1
Andrew Gill [1189]: (-0.29983283801902827, 0.8848668516244704) -- 1
Ted Coffman [599]: (-0.299627684477736, 0.5380814997387802) -- 2
Ben Clemons [586]: (-0.29939080896502007, 0.5383183752514962) -- 2
Bill Stockton [3056]: (-0.2988159090879437, 0.38517077563659635) -- 3
Norbert Rascher [2632]: (-0.2986586204152804, 0.5390505638012357) -- 2
Edmund Prince [2591]: (-0.2977762014108966, 0.886923488232602) -- 1
Harry Reget [2658]: (-0.2971691219301831, 0.8875305677133156) -- 1
Robert Spessard [2997]: (-0.29538014785205235, 0.8893195417914463) -- 1
L.G. Schneller [2851]: (-0.29524839554638704, 0.8894512940971117) -- 1
Tom Pugliese [2602]: (-0.2949206959945884, 0.38906598872995163) -- 3
Russell Murphy [2316]: (-0.29473079720270173, 0.8899688924407969) -- 1
Mike Tichy [3169]: (-0.29473079720270173, 0.8899688924407969) -- 1
Motts Blair [260]: (-0.293640635557896, 0.5440685486586202) -- 2
Ray Wilson [3435]: (-0.2926641159177819, 0.5450450682987342) -- 2
Delray Brooks [360]: (-0.292258479049348, 0.5454507051671682) -- 2
Frank Fellows [1025]: (-0.29139170411905435, 0.5463174800974618) -- 2
H.W. Hargiss [1353]: (-0.29127265024060195, 0.5464365339759143) -- 2
George Powell [2568]: (-0.2906789906484558, 0.5470301935680604) -- 2
R.L. Thomas [3145]: (-0.2889015689596804, 0.8957981206838184) -- 1
Harry Singleton [2935]: (-0.2887784162503208, 0.8959212733931778) -- 1
Corliss Williamson [3421]: (-0.2879210981847121, 0.39606558653982793) -- 3
Dan Bazzani [178]: (-0.2870866869270125, 0.8976130027164861) -- 1
Mike Conners [634]: (-0.2870866869270125, 0.8976130027164861) -- 1
Dwight Ream [2645]: (-0.2869606232648631, 0.8977390663786355) -- 1
Sam Aubrey [102]: (-0.2864761718365354, 0.39751051288800465) -- 3
Gurney Afflerbach [18]: (-0.28638415426869274, 0.5513250299478234) -- 2
