Rk,Wk,Date,Day,Winner/Tie,Pts,,Loser/Tie ▴,Pts,Notes
203,10,Nov 13 1965,Sat,(1) Michigan State,27,,Indiana,13,
204,11,Nov 20 1965,Sat,Purdue,26,@,Indiana,21,
205,4,Oct 2 1965,Sat,(3) Nebraska,44,,Iowa State,0,
206,7,Oct 23 1965,Sat,Missouri,23,@,Iowa State,7,
207,9,Nov 6 1965,Sat,Oklahoma,24,,Iowa State,20,
208,11,Nov 20 1965,Sat,New Mexico,10,,Iowa State,9,
209,2,Sep 18 1965,Sat,Washington State,7,@,Iowa,0,
210,4,Oct 2 1965,Sat,Wisconsin,16,,Iowa,13,
211,5,Oct 9 1965,Sat,(6) Purdue,17,@,Iowa,14,
212,6,Oct 16 1965,Sat,Minnesota,14,@,Iowa,3,
213,7,Oct 23 1965,Sat,Northwestern,9,,Iowa,0,
214,8,Oct 30 1965,Sat,Indiana,21,,Iowa,17,
215,9,Nov 6 1965,Sat,(1) Michigan State,35,@,Iowa,0,
216,10,Nov 13 1965,Sat,Ohio State,38,,Iowa,0,
217,11,Nov 20 1965,Sat,North Carolina State,28,@,Iowa,20,
218,2,Sep 18 1965,Sat,Indiana,19,,Kansas State,7,
219,3,Sep 24 1965,Fri,Brigham Young,21,,Kansas State,3,
220,4,Oct 2 1965,Sat,Colorado,36,@,Kansas State,0,
221,5,Oct 9 1965,Sat,Missouri,28,,Kansas State,6,
222,6,Oct 16 1965,Sat,(2) Nebraska,41,@,Kansas State,0,
223,7,Oct 23 1965,Sat,Oklahoma,27,@,Kansas State,0,
224,8,Oct 30 1965,Sat,Kansas,34,,Kansas State,0,
225,9,Nov 6 1965,Sat,Cincinnati,21,@,Kansas State,14,
226,10,Nov 13 1965,Sat,Iowa State,38,,Kansas State,6,
227,11,Nov 20 1965,Sat,Oklahoma State,31,,Kansas State,7,
228,2,Sep 18 1965,Sat,Texas Tech,26,,Kansas,7,
229,3,Sep 25 1965,Sat,Arizona,23,@,Kansas,15,
230,4,Oct 2 1965,Sat,California,17,,Kansas,0,
231,5,Oct 9 1965,Sat,Iowa State,21,@,Kansas,7,
232,6,Oct 16 1965,Sat,Oklahoma,21,,Kansas,7,
233,9,Nov 6 1965,Sat,(3) Nebraska,42,,Kansas,6,
234,10,Nov 13 1965,Sat,Colorado,21,,Kansas,14,
235,11,Nov 20 1965,Sat,(8) Missouri,44,@,Kansas,20,
236,2,Sep 18 1965,Sat,Xavier,21,,Kent State,14,
237,7,Oct 23 1965,Sat,Bowling Green State,7,@,Kent State,6,
238,8,Oct 30 1965,Sat,Toledo,7,,Kent State,3,
239,9,Nov 6 1965,Sat,Penn State,21,,Kent State,6,
240,4,Oct 2 1965,Sat,Auburn,23,,(6) Kentucky,18,
241,6,Oct 16 1965,Sat,Louisiana State,31,,Kentucky,21,
242,10,Nov 13 1965,Sat,Houston,38,,(10) Kentucky,21,
243,11,Nov 20 1965,Sat,Tennessee,19,@,Kentucky,3,
244,2,Sep 18 1965,Sat,Colgate,40,,Lafayette,0,
245,10,Nov 13 1965,Sat,Davidson,14,@,Lafayette,10,
246,11,Nov 20 1965,Sat,Lehigh,20,,Lafayette,14,
247,3,Sep 25 1965,Sat,New Mexico State,21,,Lamar,20,
248,3,Sep 25 1965,Sat,Pennsylvania,20,,Lehigh,14,
249,4,Oct 2 1965,Sat,Cornell,49,@,Lehigh,13,
250,5,Oct 9 1965,Sat,Rutgers,6,,Lehigh,0,
251,6,Oct 16 1965,Sat,Gettysburg,26,@,Lehigh,17,
252,7,Oct 23 1965,Sat,Delaware,42,@,Lehigh,21,
253,8,Oct 30 1965,Sat,Furman,27,@,Lehigh,15,
254,9,Nov 6 1965,Sat,Davidson,37,,Lehigh,23,
255,10,Nov 13 1965,Sat,Bucknell,41,,Lehigh,0,
256,9,Nov 6 1965,Sat,East Carolina,44,,Lenoir-Rhyne,0,
257,4,Oct 2 1965,Sat,Florida,14,,(5) Louisiana State,7,
258,8,Oct 30 1965,Sat,Mississippi,23,,(5) Louisiana State,0,Jackson MS
259,9,Nov 6 1965,Sat,(5) Alabama,31,@,Louisiana State,7,
260,2,Sep 18 1965,Sat,Rice,14,,Louisiana Tech,0,
261,10,Nov 13 1965,Sat,Southern Mississippi,31,@,Louisiana Tech,7,
262,8,Oct 30 1965,Sat,East Carolina,45,,Louisiana-Monroe,0,
263,2,Sep 18 1965,Sat,Western Michigan,17,,Louisville,13,
264,6,Oct 16 1965,Sat,East Carolina,34,@,Louisville,20,
265,9,Nov 6 1965,Sat,Tulsa,51,,Louisville,18,
266,11,Nov 20 1965,Sat,Kent State,7,,Louisville,6,
267,14,Dec 11 1965,Sat,East Carolina,31,,Maine,0,Tangerine Bowl (Orlando FL)
268,6,Oct 16 1965,Sat,Miami (OH),28,,Marshall,7,
269,7,Oct 23 1965,Sat,Louisville,23,,Marshall,7,
270,8,Oct 30 1965,Sat,Western Michigan,17,,Marshall,14,
271,9,Nov 6 1965,Sat,Bowling Green State,20,@,Marshall,6,
272,10,Nov 13 1965,Sat,Kent State,33,,Marshall,13,
273,4,Oct 2 1965,Sat,Syracuse,24,@,Maryland,7,
274,6,Oct 16 1965,Sat,North Carolina,12,,Maryland,10,
275,7,Oct 23 1965,Sat,North Carolina State,29,@,Maryland,7,
276,9,Nov 6 1965,Sat,Navy,19,,Maryland,7,
