Mike Price [1492]: (0.18858336929262184, 0.4577755275041119) -- 10
Bill Blankenship [153]: (0.19485878364888232, 0.6863341748353244) -- 3
Tim Beckman [104]: (0.19664940706993467, 0.5773446080971079) -- 5
Steve Addazio [6]: (0.19703882965102304, 0.6885142208374652) -- 3
Keith Gilbertson [690]: (0.19794737606144208, 0.799879340832212) -- 2
Jeff Bower [169]: (0.19996618632467486, 0.5474917682189192) -- 6
Chris Thomsen [1834]: (0.2003860860602481, 1.051646434264955) -- 1
Ron Prince [1494]: (0.20111223081802138, 0.6925876220044636) -- 3
Kyle Flood [633]: (0.20147304200485894, 0.8034050067756289) -- 2
Gary Crowton [408]: (0.2065708140175198, 0.698046205203962) -- 3
Greg McMackin [1227]: (0.20945382051184852, 0.635083994614202) -- 4
Larry Blakeney [150]: (0.21037662485135397, 0.456114320444575) -- 12
Darrell Hazell [817]: (0.21715296961595204, 0.7086283608023942) -- 3
Mark Hudspeth [895]: (0.21909125387274414, 0.7105666450591863) -- 3
Frank Solich [1721]: (0.22108694040075613, 0.49027909861224617) -- 10
Derek Dooley [508]: (0.22645912217548908, 0.6071543232026622) -- 5
Sonny Lubick [1124]: (0.22759328041187146, 0.5751188623061159) -- 6
Tim Brewster [183]: (0.23046222387319298, 0.6560923979755464) -- 4
Gregg Brandon [179]: (0.23178964042870107, 0.5793152223229454) -- 6
Guy Morriss [1311]: (0.23628907316497502, 0.5838146550592194) -- 6
Bill Lynch [1130]: (0.23742695758551507, 0.6181221586126882) -- 5
Pete Lembo [1086]: (0.2522020461571377, 0.7436774373435798) -- 3
Al Golden [704]: (0.2558350384581922, 0.5568010208435772) -- 8
Fisher DeBerry [452]: (0.2587462509369878, 0.6394414519641609) -- 5
Jim Chaney [293]: (0.2654267364667522, 1.1166870846714592) -- 1
George O'Leary [1390]: (0.2709026794385987, 0.5400948376500888) -- 10
Chris Ault [53]: (0.27383716087181764, 0.5575906102733866) -- 9
John Bunting [220]: (0.27519837240509576, 0.6558935734322688) -- 5
Skip Holtz [877]: (0.29700739671223797, 0.580760846113807) -- 9
Dan McCarney [1182]: (0.30195256788361297, 0.602918550268998) -- 8
Tony Levine [1092]: (0.3044887169230049, 0.7959641081094471) -- 3
Gary Andersen [31]: (0.3051317463471089, 0.685826947374282) -- 5
Bobby Johnson [946]: (0.30664408816038125, 0.6076100705457662) -- 8
Pat Hill [847]: (0.30885890078217737, 0.5780510589936674) -- 10
Rick Neuheisel [1357]: (0.30913507232291776, 0.7347652464252712) -- 4
Matt Campbell [253]: (0.3123673509479483, 0.9142993157187183) -- 2
Frank Spaziani [1724]: (0.3148886773814255, 0.740518851483779) -- 4
Dennis Erickson [576]: (0.31756703502126515, 0.6393132039241085) -- 7
Paul Chryst [306]: (0.3193267005414443, 0.9212586653122142) -- 2
Troy Calhoun [241]: (0.3279948529674483, 0.6497410218702917) -- 7
Mike Sherman [1676]: (0.33129311673170897, 0.822768507918151) -- 3
Joe Novak [1376]: (0.3321693305864707, 0.6796949124807151) -- 6
Dana Holgorsen [858]: (0.33498403700225615, 0.8264594281886983) -- 3
John Smith [1705]: (0.3368692495461335, 0.6843948314403779) -- 6
Doug Marrone [1154]: (0.33702436092313487, 0.7626545350254883) -- 4
Larry Fedora [603]: (0.33928223194008145, 0.6868078138343259) -- 6
Sonny Dykes [542]: (0.3442549409600277, 0.7698851150623811) -- 4
Randy Edsall [547]: (0.34725278187429776, 0.5929904774675188) -- 12
Rich Brooks [195]: (0.34968619478335816, 0.6714323636862015) -- 7
Tim DeRuyter [465]: (0.34992535011286624, 0.8414007412993083) -- 3
Terry Hoeppner [853]: (0.3514098856486165, 0.7321050866757897) -- 5
Steve Kragthorpe [1042]: (0.35699782779424805, 0.6787439966970914) -- 7
Jerry Kill [1004]: (0.35800473882901584, 0.7055303207232603) -- 6
June Jones [964]: (0.36722878393473235, 0.6129664795279534) -- 12
Greg Schiano [1634]: (0.3694321072710851, 0.6386242654825751) -- 10
Mike Stoops [1770]: (0.374480039849146, 0.6962262087519894) -- 7
Tyrone Willingham [1991]: (0.3759227173882985, 0.723448299282543) -- 6
Rocky Long [1116]: (0.3761269891519353, 0.6453191473634253) -- 10
