H.M. Wheaton [1956]: (-0.30562280197948155, 0.8428209748233255) -- 1
John Van Liew [1883]: (-0.3052411179736671, 0.5068312644150879) -- 2
Jake Hanna [768]: (-0.3050381690391917, 0.5070342133495632) -- 2
Joe Bedenk [105]: (-0.30377327485550265, 0.8446705019473044) -- 1
Ralph Thacker [1823]: (-0.3036336531072859, 0.8448101236955212) -- 2
Frank Carideo [262]: (-0.30316698499119454, 0.3598873386950566) -- 3
John Griffith [733]: (-0.30188425512663386, 0.510188127262121) -- 3
Garrett Arbelbide [44]: (-0.301777176037181, 0.36127714764907015) -- 3
John Griffith [734]: (-0.3012388745300314, 0.5108335078587235) -- 2
Dave Puddington [1499]: (-0.3011549232650862, 0.361899400421165) -- 3
Choc Kelly [987]: (-0.30111089836567745, 0.8473328784371297) -- 1
Pete Cordelli [361]: (-0.2992938173687363, 0.3637605063175149) -- 3
Jack Ingersoll [917]: (-0.298395888087282, 0.8500478887155251) -- 1
Eddie Chinske [299]: (-0.2978241295662428, 0.36523019412000834) -- 3
Fred Vonappen [1897]: (-0.2974968896325115, 0.3655574340537397) -- 3
Lonnie McMillan [1230]: (-0.29699155354426465, 0.8514522232585424) -- 2
Tom Young [2041]: (-0.29609220024716293, 0.8523515765556442) -- 1
O.E. Neale [1349]: (-0.29603040488932464, 0.5160419774994303) -- 2
George Washington_UNKNOWN_COACH: (-0.29558137088905145, 0.8528624059137556) -- 1
Ray Donels [503]: (-0.29557885136412276, 0.5164935310246321) -- 2
Lamar_UNKNOWN_COACH: (-0.29531986986440967, 0.8531239069383973) -- 2
Tom Alley [22]: (-0.2947293368753989, 0.5173430455133561) -- 2
Reaves Baysinger [99]: (-0.29425318182618326, 0.5178192005625716) -- 2
Wally English [569]: (-0.29322531435282767, 0.5188470680359272) -- 2
Harvey Robinson [1563]: (-0.2921677956007074, 0.5199045867880475) -- 2
Warren Harper [785]: (-0.29099437851374416, 0.5210780038750107) -- 2
Bobby Keasler [978]: (-0.2909933699793942, 0.372060953706857) -- 3
